variable,dummyVariable,typeEnd,databaseStart,variableStart,ICES.confirmation,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes,version,lastUpdated,status,reviewNotes,versionNotes,review
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,0.5,4,<1 year,Less than 1 year ago,years,1,Less than 1 year,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 1 -> 0.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,1.5,4,1-2 years,1 to less than 2 years ago,years,2,1-2 years,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 2 -> 1.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,2.5,4,2-3 years,2 to less than 3 years ago,years,3,2-3 years,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 3 -> 2.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,NA::a,4,Not applicable,Not applicable,years,6,Not applicable,Yrs quit (occ),When stopped smoking - former occasional,,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,NA::b,4,Missing,Don't know/Refusal/Not stated,years,"[7,9]",Missing,Yrs quit (occ),When stopped smoking - former occasional,,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A, [SMK_06A]",,cat,NA::b,4,Catch-all,Catch-all missing,years,else,else,Yrs quit (occ),When stopped smoking - former occasional,,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SMKC_06C, cchs2005_m::SMKE_06C, [SMK_06C]",,cont,copy,4,3+ years (continuous),Actual years from continuous source variable,years,copy,3+ years,Yrs quit (occ),When stopped smoking - former occasional,Master: pass-through from continuous source variable,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m","cchs2015_2016_m::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060",,cat,0.5,4,<1 year,Less than 1 year ago,years,1,Less than 1 year,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 1 -> 0.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m","cchs2015_2016_m::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060",,cat,1.5,4,1-2 years,1 to less than 2 years ago,years,2,1-2 years,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 2 -> 1.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
SMK_06A_cont,N/A,cont,"cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m","cchs2015_2016_m::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060",,cat,2.5,4,2-3 years,2 to less than 3 years ago,years,3,2-3 years,Yrs quit (occ),When stopped smoking - former occasional,Midpoint conversion: cat 3 -> 2.5 years,3.0.0-alpha,2026-02-21,active,Master: continuous source for cat 4 (3+ years).,,
